exception_id,exception_type,trigger_condition,severity,initial_handler,escalation_path,resolution_action,sla_hours,automatable,audit_trail_required,example_scenario
EXC-001,Rule Violation,CVC rule triggered with no compliance justification provided,Critical,CVO Officer,"CVO → MD → Board (if fraud suspected)",Freeze workflow → CVO committee review → Override with justification OR Terminate PR,8,No,Yes,"PR for proprietary item >₹5L without MD approval and written justification as per CVC Rule 161"
EXC-002,Budget Breach,Estimated PR value exceeds available budget by ≥20%,Critical,Finance Manager,"Finance Manager → CFO → MD",Budget reallocation OR PR rejection,4,No,Yes,"PR for ₹10L when cost center has only ₹7L remaining budget (30% breach)"
EXC-003,Compliance Failure,Vendor blacklisted or debarred by CVC/Govt,Critical,Legal Team,"Legal → Compliance Officer → CVO",Immediate PR termination + vendor alert flagged in system,2,Yes (auto-check vendor blacklist),Yes,"Vendor flagged in CVC debarred list (corruption case) but buyer unaware, system auto-detects during classification"
EXC-004,SAP Sync Failure,SAP BAPI call fails after 3 retries (timeout/error),Major,Department Manager,"Manager → SAP Admin → Finance Manager",Manual SAP sync OR Wait for SAP system recovery + Auto-retry,24,Partial (auto-retry 3x),Yes,"SAP system down for maintenance, PO creation fails. Manager manually syncs after SAP recovery"
EXC-005,Document Missing,Mandatory attachment missing (e.g. CVC Form 17 for single vendor),Major,Buyer (notification sent),"Buyer → Manager (if not resolved in 24h)",Buyer uploads missing document OR Manager overrides with justification,24,No,Yes,"Single vendor PR >₹50K missing CVC Form 17. Buyer notified, uploads form within 12 hours"
EXC-006,Vendor Blacklisted,Vendor in HPCL internal blacklist (poor past performance),Major,Procurement Head,"Procurement Head → MD",Override with strong justification (e.g. only vendor for critical spare) OR Reject PR,12,Yes (auto-check internal blacklist),Yes,"Vendor blacklisted due to 3 consecutive late deliveries, but is sole supplier for proprietary spares. MD overrides for emergency procurement"
EXC-007,Bid Deadline Extension,Vendor requests deadline extension due to force majeure (e.g. natural disaster),Major,Tender Committee,"Committee → CFO → MD (if >7 days extension)",Approve extension + Notify all bidders OR Reject extension request,48,No,Yes,"Vendor requests 10-day extension due to floods disrupting manufacturing. Committee approves 7-day extension, notifies all 95 bidders"
EXC-008,Price Outlier (High),Bid price >2 standard deviations above mean (suspiciously high),Major,Evaluation Committee,"Committee → Procurement Head",Request vendor clarification OR Disqualify bid,72,Partial (auto-flag outlier),Yes,"Bid of ₹6.2L when mean is ₹4.3L (44% above). Committee requests price justification from vendor"
EXC-009,Price Outlier (Low),Bid price >2 standard deviations below mean (predatory pricing),Major,Evaluation Committee,"Committee → Legal → CVC",Request vendor cost breakdown OR Disqualify for anti-competitive pricing,72,Partial (auto-flag outlier),Yes,"Bid of ₹2.8L when mean is ₹4.3L (35% below). Committee suspects predatory pricing, requests detailed cost breakdown"
EXC-010,Timeout Notification,Email/SMS notification fails after 3 retries,Minor,System (auto-retry),"System → IT Support (if persistent)",Auto-retry with alternative channel (SMS if email fails) OR Log failure,4,Yes (auto-retry + fallback),No,"Email notification to approver fails (mail server down). System auto-sends SMS notification within 5 min"
EXC-011,Optional Field Missing,Non-mandatory field missing (e.g. PR remarks),Minor,System (auto-skip),"System → Buyer (warning notification)",Skip field + Notify buyer to update later,N/A,Yes,No,"Buyer forgets to fill 'Internal Reference Number' (optional field). System proceeds with PR, sends reminder to buyer"
EXC-012,Classification Low Confidence,ML classification confidence <0.7,Minor,Buyer (manual classification),"Buyer → Manager (if buyer unsure)",Buyer manually selects category OR Manager reviews and corrects,8,No,No,"ML classifies PR as 'IT Services' with 0.65 confidence (ambiguous description). Buyer manually corrects to 'IT Hardware'"
EXC-013,Approver on Leave,Assigned approver on leave with no delegate set,Major,System (auto-escalate),"System → Delegate (if set) → Next level approver",Auto-assign to delegate OR Escalate to next level after 24h,24,Yes (check leave calendar),Yes,"Manager on leave, no delegate. System auto-escalates to CFO after 24 hours with notification"
EXC-014,Duplicate PR Detected,Buyer submits duplicate PR (same vendor + value + description within 7 days),Major,System (auto-flag),"System → Buyer (confirmation required)",Buyer confirms duplicate (merge) OR New PR (different purpose),4,Yes (duplicate detection),Yes,"Buyer submits 2 PRs for 'Dell Laptops ₹2.5L' within 3 days. System flags, buyer confirms first PR was rejected, new PR is valid"
EXC-015,GST Validation Failure,Vendor GST number invalid or not found in GSTN database,Major,System (auto-reject),"System → Buyer (update vendor GST) → Finance Manager",Buyer updates correct GST OR Finance Manager overrides for exempted entities (Govt/PSU),12,Yes (auto-call GST API),Yes,"Vendor GST '27AABCU9603R1Z9' returns 'Invalid' from GSTN API. System blocks PR, buyer corrects typo to '27AABCU9603R1Z5'"
EXC-016,Budget Lock Conflict,Budget reserved by another PR in same cost center (parallel processing),Major,System (queue PR),"System → Finance Manager (if lock >1 hour)",Queue PR until budget released OR Finance reallocates budget,2,Yes (auto-queue),No,"2 PRs submitted simultaneously for same cost center. First PR locks ₹5L budget, second PR queued. First PR completes, budget released, second PR auto-proceeds"
EXC-017,Tender No Bids,Tender published but zero bids received by deadline,Critical,Tender Committee,"Committee → Procurement Head → MD",Re-tender with relaxed terms OR Direct procurement with MD approval,48,No,Yes,"Tender for niche software receives 0 bids (too restrictive specs). Committee relaxes specs, re-tenders with 21-day extension"
EXC-018,Vendor Dispute,Vendor challenges evaluation scores (claims bias/error),Major,Evaluation Committee,"Committee → Legal → Ombudsman (if escalated)",Committee reviews scores with audit trail + Justification OR Re-evaluation if error found,120,No,Yes,"Vendor claims ML scoring error (wrong delivery time extracted via OCR). Committee verifies OCR, finds no error, provides detailed justification to vendor"
EXC-019,Contract Value Change,Vendor requests contract value increase >10% post-award,Major,Procurement Head,"Procurement Head → CFO → MD (if >20% increase)",Approve amendment with justification OR Reject + Retender,72,No,Yes,"Vendor requests 15% price increase due to raw material cost surge. CFO approves with market price verification + audit trail"
EXC-020,Emergency Procurement,Buyer requests emergency PR (skip normal approvals due to urgency),Critical,MD Office,"Buyer → Department Head → MD (direct escalation)",MD approves with post-facto committee review OR Reject if not genuine emergency,4,No,Yes,"Plant shutdown imminent due to critical spare failure. Buyer creates emergency PR, MD approves within 2 hours, committee reviews compliance next day"
